original_name,normalized_name,equipment_prefix,source_path,destination_path
Manual de Servicio Cabina Microbiológica EuroClone Safemate EZ (Ing).pdf,cabina_bioseguridad_manual_de_servicio_cabina_microbiologica_euroclone_safemate_ez_ing.pdf,cabina_bioseguridad,data\raw_original_unicos\Manual de Servicio Cabina Microbiológica EuroClone Safemate EZ (Ing).pdf,data\raw_normalized\cabina_bioseguridad_manual_de_servicio_cabina_microbiologica_euroclone_safemate_ez_ing.pdf
Manual de servicio CrossVent - BIOMED Devices crossvent 4.pdf,ventilador_crossvent_manual_de_servicio_crossvent_biomed_devices_crossvent_4.pdf,ventilador_crossvent,data\raw_original_unicos\Manual de servicio CrossVent - BIOMED Devices crossvent 4.pdf,data\raw_normalized\ventilador_crossvent_manual_de_servicio_crossvent_biomed_devices_crossvent_4.pdf
Manual de Servicio Desfibrilador - Monitor Beneheart D3 · D2 (Inglés).pdf,desfibrilador_mindray_beneheart_manual_de_servicio_desfibrilador_monitor_beneheart_d3_d2_ingles.pdf,desfibrilador_mindray_beneheart,data\raw_original_unicos\Manual de Servicio Desfibrilador - Monitor Beneheart D3 · D2 (Inglés).pdf,data\raw_normalized\desfibrilador_mindray_beneheart_manual_de_servicio_desfibrilador_monitor_beneheart_d3_d2_ingles.pdf
Manual de Servicio Esterilizadora Sterrad 100 (Ing).pdf,sterrad_100_manual_de_servicio_esterilizadora_sterrad_100_ing.pdf,sterrad_100,data\raw_original_unicos\Manual de Servicio Esterilizadora Sterrad 100 (Ing).pdf,data\raw_normalized\sterrad_100_manual_de_servicio_esterilizadora_sterrad_100_ing.pdf
Manual de Servicio Procesador de Tejidos Leica TP 1020 (Inglés).pdf,leica_tp1020_manual_de_servicio_procesador_de_tejidos_leica_tp_1020_ingles.pdf,leica_tp1020,data\raw_original_unicos\Manual de Servicio Procesador de Tejidos Leica TP 1020 (Inglés).pdf,data\raw_normalized\leica_tp1020_manual_de_servicio_procesador_de_tejidos_leica_tp_1020_ingles.pdf
Manual de Usuario Bilirrubinómetro Dräger JM-105.pdf,bilirrubinometro_drager_jm105_manual_de_usuario_bilirrubinometro_drager_jm_105.pdf,bilirrubinometro_drager_jm105,data\raw_original_unicos\Manual de Usuario Bilirrubinómetro Dräger JM-105.pdf,data\raw_normalized\bilirrubinometro_drager_jm105_manual_de_usuario_bilirrubinometro_drager_jm_105.pdf
Manual de usuario Engstrom Carestation - ANEXO- ES.pdf,ventilador_engstrom_manual_de_usuario_engstrom_carestation_anexo_es.pdf,ventilador_engstrom,data\raw_original_unicos\Manual de usuario Engstrom Carestation - ANEXO- ES.pdf,data\raw_normalized\ventilador_engstrom_manual_de_usuario_engstrom_carestation_anexo_es.pdf
Manual de usuario Engstrom Carestation - ES.pdf,ventilador_engstrom_manual_de_usuario_engstrom_carestation_es.pdf,ventilador_engstrom,data\raw_original_unicos\Manual de usuario Engstrom Carestation - ES.pdf,data\raw_normalized\ventilador_engstrom_manual_de_usuario_engstrom_carestation_es.pdf
Manual de Usuario Incubadora Medix TR200.pdf,incubadora_medix_manual_de_usuario_incubadora_medix_tr200.pdf,incubadora_medix,data\raw_original_unicos\Manual de Usuario Incubadora Medix TR200.pdf,data\raw_normalized\incubadora_medix_manual_de_usuario_incubadora_medix_tr200.pdf
Manual de Usuario Micrótomo de Rotación Leica RM2125 RTS.pdf,leica_rm2125_manual_de_usuario_microtomo_de_rotacion_leica_rm2125_rts.pdf,leica_rm2125,data\raw_original_unicos\Manual de Usuario Micrótomo de Rotación Leica RM2125 RTS.pdf,data\raw_normalized\leica_rm2125_manual_de_usuario_microtomo_de_rotacion_leica_rm2125_rts.pdf
Manual de Usuario y Técnico Cama Linet Eleganza 1.pdf,cama_electronica_manual_de_usuario_y_tecnico_cama_linet_eleganza_1.pdf,cama_electronica,data\raw_original_unicos\Manual de Usuario y Técnico Cama Linet Eleganza 1.pdf,data\raw_normalized\cama_electronica_manual_de_usuario_y_tecnico_cama_linet_eleganza_1.pdf
Manual tecnico NV-Graph Rev-03.pdf,ventilador_neumovent_manual_tecnico_nv_graph_rev_03.pdf,ventilador_neumovent,data\raw_original_unicos\Manual tecnico NV-Graph Rev-03.pdf,data\raw_normalized\ventilador_neumovent_manual_tecnico_nv_graph_rev_03.pdf
Manual TP 100 Castellano V2.pdf,tp_100_manual_tp_100_castellano_v2.pdf,tp_100,data\raw_original_unicos\Manual TP 100 Castellano V2.pdf,data\raw_normalized\tp_100_manual_tp_100_castellano_v2.pdf
Manual Técnico Bilirrubinómetro Dräger JM-105 (Español).pdf,bilirrubinometro_drager_jm105_manual_tecnico_bilirrubinometro_drager_jm_105_espanol.pdf,bilirrubinometro_drager_jm105,data\raw_original_unicos\Manual Técnico Bilirrubinómetro Dräger JM-105 (Español).pdf,data\raw_normalized\bilirrubinometro_drager_jm105_manual_tecnico_bilirrubinometro_drager_jm_105_espanol.pdf
Manual Técnico Cama Pardo HiTech ACT.pdf,cama_electronica_manual_tecnico_cama_pardo_hitech_act.pdf,cama_electronica,data\raw_original_unicos\Manual Técnico Cama Pardo HiTech ACT.pdf,data\raw_normalized\cama_electronica_manual_tecnico_cama_pardo_hitech_act.pdf
Manual Técnico Cama Pardo Komplet.pdf,cama_electronica_manual_tecnico_cama_pardo_komplet.pdf,cama_electronica,data\raw_original_unicos\Manual Técnico Cama Pardo Komplet.pdf,data\raw_normalized\cama_electronica_manual_tecnico_cama_pardo_komplet.pdf
Manual Técnico Incubadora Medix Natal Care (ST · MX · LX).pdf,incubadora_medix_manual_tecnico_incubadora_medix_natal_care_st_mx_lx.pdf,incubadora_medix,data\raw_original_unicos\Manual Técnico Incubadora Medix Natal Care (ST · MX · LX).pdf,data\raw_normalized\incubadora_medix_manual_tecnico_incubadora_medix_natal_care_st_mx_lx.pdf
Manual Técnico Incubadora Medix TR306.pdf,incubadora_medix_manual_tecnico_incubadora_medix_tr306.pdf,incubadora_medix,data\raw_original_unicos\Manual Técnico Incubadora Medix TR306.pdf,data\raw_normalized\incubadora_medix_manual_tecnico_incubadora_medix_tr306.pdf
Manual Técnico Ventilador Engström (Español).pdf,ventilador_engstrom_manual_tecnico_ventilador_engstrom_espanol.pdf,ventilador_engstrom,data\raw_original_unicos\Manual Técnico Ventilador Engström (Español).pdf,data\raw_normalized\ventilador_engstrom_manual_tecnico_ventilador_engstrom_espanol.pdf
Manual Técnico Ventilador GE Engström (Aleman).pdf,ventilador_engstrom_manual_tecnico_ventilador_ge_engstrom_aleman.pdf,ventilador_engstrom,data\raw_original_unicos\Manual Técnico Ventilador GE Engström (Aleman).pdf,data\raw_normalized\ventilador_engstrom_manual_tecnico_ventilador_ge_engstrom_aleman.pdf
Manual Técnico Ventilador Neumovent GraphNet Neo TS.pdf,ventilador_neumovent_manual_tecnico_ventilador_neumovent_graphnet_neo_ts.pdf,ventilador_neumovent,data\raw_original_unicos\Manual Técnico Ventilador Neumovent GraphNet Neo TS.pdf,data\raw_normalized\ventilador_neumovent_manual_tecnico_ventilador_neumovent_graphnet_neo_ts.pdf
Manual Técnico y de Mantenimiento Agitador Presvac AE-500 A.pdf,agitador_presvac_ae500_manual_tecnico_y_de_mantenimiento_agitador_presvac_ae_500_a.pdf,agitador_presvac_ae500,data\raw_original_unicos\Manual Técnico y de Mantenimiento Agitador Presvac AE-500 A.pdf,data\raw_normalized\agitador_presvac_ae500_manual_tecnico_y_de_mantenimiento_agitador_presvac_ae_500_a.pdf
